anunciante;titulo;municipio;precio_eur;precio_anterior_eur;descuento_pct;superficie_m2;tipo_suelo;referencia_catastral;notas;vendido_con_descuento;es_urbano_o_urbanizable;precio_m2
Oyambre Servicios Inmobiliarios;Calle Resconorio, 53, Monte, Santander;Santander;69000;92800.0;26.0;2087.0;Urbanizable;2231724VP3123A0001SB;En texto aparece 2.205 m² (inconsistencia);True;True;33.06181121226641
Gestiona Consuelo;Barrio Oruña, Oruña, Piélagos;Piélagos;147500;150000.0;2.0;1163.0;Urbano (solar);;Proyecto + licencia;True;True;126.82717110920035
Oyambre Servicios Inmobiliarios;Barrio la Canal, 8 a, Oruña, Piélagos;Piélagos;166000;;;2450.0;Urbanizable;2957011VP2025N0001UH;En texto también menciona 2.680,39 m² (inconsistencia);False;True;67.75510204081633
C&M GREAT LUXURY REAL ESTATE GROUP;Barrio Valencia, 15, Vioño, Piélagos;Piélagos;195000;;;1577.0;Urbano (solar);;;False;True;123.65250475586556
33 Elefantes;Avenida Dorst, km 24, Santillana del Mar;Santillana del Mar;83000;;;1000.0;Urbanizable;;;False;True;83.0
ALFAPLAYAS;Calle Macías Picavea, General Dávila, Santander;Santander;300000;500000.0;40.0;324.0;Urbano (solar);;Posibilidad hasta 8 apartamentos + garajes (según texto);True;True;925.925925925926
;Barrio Barcenilla, Barcenilla - Quijano, Piélagos;Piélagos;797000;;;2915.0;;;Texto describe promoción 36 dúplex en Bustablado (posible mezcla/ruido del anuncio);False;False;273.41337907375646
;Barrio el Palacio, Polanco;Polanco;643900;;;5109.0;;;22 fincas;False;False;126.03249168134664
Gestion inmobiliaria gumar;Barrio Camplengo, Santillana del Mar;Santillana del Mar;225000;;;2842.0;Urbano (solar);;;False;True;79.16959887403237
tomascasas inmobiliaria;Barrio el Callejo, 11, Liencres, Piélagos;Piélagos;295000;;;1080.0;Urbano (solar);;Vistas al mar (indicado);False;True;273.14814814814815
Look & Find Santander;Barrio la Canal, Oruña, Piélagos;Piélagos;200000;;;761.0;Urbano (solar);;Proyecto + licencia para 6 viviendas (según texto);False;True;262.8120893561104
Inmobiliaria PAS-NuevoPiso;Barrio El Tolío, Boo, Piélagos;Piélagos;30000;;;10000.0;No urbanizable;;Uso agrario (según texto);False;False;3.0
Inmobiliaria PAS-NuevoPiso;Barrio el Palacio, Polanco;Polanco;80000;;;1476.0;Urbanizable;;Dos parcelas 805 y 671 m² (según texto);False;True;54.200542005420054
;Calle Repuente, Monte, Santander;Santander;980000;;;12467.0;Urbanizable;;Conjunto 10 parcelas;False;True;78.60752386299832
;Calle Resconorio, Monte, Santander;Santander;69000;92800.0;26.0;2205.0;Urbanizable;;Duplicado de concepto con ids 106/121/132 (mismo precio/desc.);True;True;31.292517006802722
Virginia Yllera;Barrio la Sierra, 3, Liencres, Piélagos;Piélagos;165000;;;352.0;Urbano (solar);;Edificabilidad 218 (según texto);False;True;468.75
Inmobiliaria cobo mantecon;Boo, Piélagos;Piélagos;120000;125000.0;4.0;3038.0;Urbanizable;;;True;True;39.49967083607637
