precio,superficie_construida_m2,numero_dormitorios,numero_banos,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,latitud,longitud,provincia,distrito,tipologia,subtipologia,precio_m2_raw,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km,es_exterior_piso,tiene_ascensor_piso,planta_num,log_precio,log_superficie_construida_m2,precio_m2,precio_m2_municipio_media,ratio_dormitorios_superficie,ratio_banos_superficie,interaccion_superficie_banos,interaccion_planta_sin_ascensor_piso,latitud_2,longitud_2,interaccion_latitud_longitud,distancia_centro_municipio_km,score_cercania_servicios,superficie_construida_m2_2,numero_banos_2,numero_dormitorios_2,tipologia_unificada_piso,tipologia_unificada_unifamiliar,municipio_Ampuero,municipio_Barcena de Cicero,municipio_Camargo,municipio_Castro-Urdiales,municipio_Colindres,municipio_Cudon,municipio_El Astillero,municipio_Guarnizo,municipio_Laredo,municipio_Liendo,municipio_Limpias,municipio_Marina de Cudeyo,municipio_Miengo,municipio_Mogro,municipio_Noja,municipio_Ortuella,municipio_Piélagos,municipio_Polanco,municipio_Ribamontan al Mar,municipio_Ribamontan al Monte,municipio_Santa Cruz de Bezana,municipio_Santander,municipio_Santillana del Mar,municipio_Santoña,municipio_Santurtzi,municipio_Suances,municipio_Torrelavega,municipio_Villaescusa,municipio_Viveda,municipio_Voto,municipio_otro
990000.0,300.0,5,3,,0,0,1,0,43.4660496,-3.8680097,Cantabria,Alisal - Cazoña - San Román,chalet,independantHouse,3300.0,1.097,0.645,0.241,0,0,0,13.805460222110773,5.703782474656201,3300.0,3257.5921884290465,0.016666666666666666,0.01,900.0,0,1889.29746782966,14.96149903929409,-168.1271014734811,3.786056455530538,0.6301920766110415,90000.0,9,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
250000.0,100.0,3,1,,0,0,1,0,43.4345258,-3.8925484,Cantabria,Igollo,chalet,independantHouse,2500.0,4.254,0.561,1.201,0,0,0,12.429216196844385,4.605170185988092,2500.0,2186.683851919792,0.03,0.01,100.0,0,1886.558031470866,15.15193304634256,-169.07099390754874,2.7687847537563015,0.4284283678281107,10000.0,1,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369000.0,127.0,4,2,4.0,1,1,0,0,43.4605711,-3.8172702,Cantabria,Numancia - San Fernando,flat,,2906.0,2.562,0.149,0.131,1,1,4,12.818551923022664,4.844187086458591,2905.511811023622,3257.5921884290465,0.031496062992125984,0.015748031496062992,254.0,0,1888.8212403381553,14.571551779808038,-165.90074293501124,0.37297932276004303,0.6784121579223504,16129.0,4,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
350000.0,120.0,4,2,3.0,1,1,1,0,43.4550548,-3.8398441,Cantabria,Peñacastillo - Nuevamontaña,flat,,2917.0,2.678,0.457,0.139,1,1,3,12.765688433465597,4.787491742782046,2916.6666666666665,3257.5921884290465,0.03333333333333333,0.016666666666666666,240.0,0,1888.341787671003,14.744402712304812,-166.86063578895667,1.67743329006713,0.6120639396052989,14400.0,4,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
160000.0,160.0,5,2,1.0,1,0,0,0,43.3928821,-3.8586245,Cantabria,,flat,,1000.0,5.033,2.016,0.326,1,0,1,11.982929094215963,5.075173815233827,1000.0,1527.1098956774722,0.03125,0.0125,320.0,1,1882.9422169445006,14.88898303200025,-167.43683799667144,1.1882157066445638,0.4171559379326397,25600.0,4,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92914.0,103.0,1,1,4.0,1,1,1,0,43.4259895,-3.8426111,Cantabria,Maliaño,flat,,902.0,2.655,0.162,0.468,1,1,4,11.439429613124947,4.634728988229636,902.0776699029126,2186.683851919792,0.009708737864077669,0.009708737864077669,103.0,0,1885.8165640541104,14.76566006584321,-166.86918928118345,2.0478534391127585,0.6051273064112833,10609.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349000.0,242.0,5,2,,0,0,1,0,43.4289634,-3.8654871,Cantabria,Herrera,chalet,semidetachedHouse,1442.0,4.532,0.771,0.751,0,0,0,12.762827201184564,5.488937726156687,1442.1487603305786,2186.683851919792,0.02066115702479339,0.008264462809917356,484.0,0,1886.0748619985395,14.941990520266412,-167.87409778907215,1.1301461305353742,0.4388404718704652,58564.0,4,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164900.0,65.0,2,1,1.0,1,1,0,0,43.4524182,-3.8191369,Cantabria,Castilla - Hermida,flat,,2537.0,2.936,0.181,0.169,1,1,1,12.013094508547692,4.174387269895637,2536.923076923077,3257.5921884290465,0.03076923076923077,0.015384615384615385,65.0,0,1888.112647427691,14.58580666094161,-165.95073374185156,1.0857930258471309,0.6520790282037846,4225.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
215000.0,100.0,3,2,3.0,1,1,0,0,43.4152291,-3.8505386,Cantabria,Muriedas,flat,,2150.0,3.321,0.458,0.149,1,1,3,12.2783933071098,4.605170185988092,2150.0,2186.683851919792,0.03,0.02,200.0,0,1884.8821178054866,14.82664751008996,-167.17201547739324,1.3074489175662127,0.5958736618648274,10000.0,4,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385000.0,99.0,3,1,2.0,0,1,0,0,43.4543398,-3.8137993,Cantabria,Castilla - Hermida,flat,,3889.0,2.456,0.237,0.094,0,1,2,12.86099861326992,4.59511985013459,3888.8888888888887,3257.5921884290465,0.030303030303030304,0.010101010101010102,99.0,0,1888.279647453864,14.545065100680489,-165.72613071120213,1.054528639616862,0.6706120238833337,9801.0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
