precio,superficie_construida_m2,numero_dormitorios,numero_banos,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,latitud,longitud,provincia,distrito,tipologia,subtipologia,precio_m2_raw,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km,es_exterior_piso,tiene_ascensor_piso,planta_num,log_precio,log_superficie_construida_m2,precio_m2,precio_m2_municipio_media,ratio_dormitorios_superficie,ratio_banos_superficie,interaccion_superficie_banos,interaccion_planta_sin_ascensor_piso,latitud_2,longitud_2,interaccion_latitud_longitud,distancia_centro_municipio_km,score_cercania_servicios,superficie_construida_m2_2,numero_banos_2,numero_dormitorios_2,tipologia_unificada_piso,tipologia_unificada_unifamiliar,municipio_Camargo,municipio_Castro-Urdiales,municipio_El Astillero,municipio_Piélagos,municipio_Santander,municipio_Torrelavega,municipio_otro
900.0,100.0,3,2,2.0,1,0,0,0,43.4580778,-3.8708849,Cantabria,Peñacastillo - Nuevamontaña,flat,,9.0,2.008,0.714,0.75,1,0,2,6.802394763324311,4.605170185988092,9.0,12.248973929818641,0.03,0.02,200.0,2,1888.6045260708527,14.98374990904801,-168.22121713904522,4.816266220019142,0.49576865056705666,10000.0,4,9,1,0,0,0,0,0,1,0,0
980.0,85.0,3,2,5.0,1,1,1,0,43.4391899,-3.8568401,Cantabria,Peñacastillo - Nuevamontaña,flat,,12.0,4.149,0.37,0.592,1,1,5,6.887552571664617,4.442651256490317,11.529411764705882,12.248973929818641,0.03529411764705882,0.023529411764705882,170.0,0,1886.9632191682622,14.875215556968008,-167.538009517835,4.539517824042308,0.5174267264191106,7225.0,4,9,1,0,0,0,0,0,1,0,0
975.0,81.0,3,2,4.0,1,1,1,0,43.4399948,-3.8562375,Cantabria,Peñacastillo - Nuevamontaña,flat,,12.0,4.071,0.289,0.627,1,1,4,6.882437470997846,4.394449154672439,12.037037037037036,12.248973929818641,0.037037037037037035,0.024691358024691357,162.0,0,1887.0331482240272,14.870567656406251,-167.51493694756502,4.447301129267256,0.5292077011331248,6561.0,4,9,1,0,0,0,0,0,1,0,0
800.0,65.0,2,1,1.0,1,1,0,0,43.4599664,-3.8182961,Cantabria,Numancia - San Fernando,flat,,12.0,2.633,0.121,0.207,1,1,1,6.684611727667927,4.174387269895637,12.307692307692308,12.248973929818641,0.03076923076923077,0.015384615384615385,65.0,0,1888.7686794891288,14.57938510727521,-165.94302021125102,0.6641480257504854,0.6652718949632739,4225.0,1,4,1,0,0,0,0,0,1,0,0
950.0,90.0,2,1,5.0,1,1,0,0,43.4565454,-3.8077336,Cantabria,Castilla - Hermida,flat,,11.0,1.91,0.309,0.254,1,1,5,6.856461984594587,4.499809670330265,10.555555555555555,12.248973929818641,0.022222222222222223,0.011111111111111112,90.0,0,1888.4713381022614,14.498835168568961,-165.47094805950545,0.8388185575212288,0.635010905988532,8100.0,1,4,1,0,0,0,0,0,1,0,0
850.0,68.0,2,1,2.0,1,0,0,0,43.4586978,-3.8209778,Cantabria,Cuatro Caminos,flat,,13.0,2.643,0.057,0.082,1,0,2,6.745236349484363,4.219507705176107,12.5,12.248973929818641,0.029411764705882353,0.014705882352941176,68.0,2,1888.658414471725,14.59987134809284,-166.05471951070885,0.9221656721647875,0.7149290835847308,4624.0,1,4,1,0,0,0,0,0,1,0,0
1300.0,110.0,3,2,3.0,1,1,1,0,43.4580268,-3.8525515,Cantabria,Alisal - Cazoña - San Román,flat,,12.0,2.277,0.188,0.149,1,1,3,7.170119543449628,4.700480365792417,11.818181818181818,12.248973929818641,0.02727272727272727,0.01818181818181818,220.0,0,1888.6000933495181,14.84215306015225,-167.4242863353802,3.3545023869888033,0.6724100056110777,12100.0,4,9,1,0,0,0,0,0,1,0,0
1300.0,140.0,3,2,6.0,1,1,0,0,43.4612835,-3.8204802,Cantabria,Cuatro Caminos,flat,,9.0,2.415,0.154,0.113,1,1,6,7.170119543449628,4.941642422609304,9.285714285714286,12.248973929818641,0.02142857142857143,0.014285714285714285,280.0,0,1888.8831634673722,14.59606895859204,-166.0429730783367,0.7522617976173939,0.6859498305899705,19600.0,4,9,1,0,0,0,0,0,1,0,0
900.0,61.0,2,1,8.0,1,1,0,0,43.4589617,-3.8262724,Cantabria,Cuatro Caminos,flat,,15.0,2.443,0.07,0.191,1,1,8,6.802394763324311,4.110873864173311,14.754098360655737,12.248973929818641,0.03278688524590164,0.01639344262295082,61.0,0,1888.6813520420671,14.64036047900176,-166.2858256853671,1.2819478778655247,0.6882181272353541,3721.0,1,4,1,0,0,0,0,0,1,0,0
750.0,88.0,2,1,1.0,1,1,0,0,43.4554142,-3.8213527,Cantabria,Castilla - Hermida,flat,,9.0,2.957,0.125,0.23,1,1,1,6.620073206530356,4.477336814478207,8.522727272727273,12.248973929818641,0.022727272727272728,0.011363636363636364,88.0,0,1888.3730232935616,14.602736457797288,-166.05846438278834,1.192397395785479,0.6515379078481206,7744.0,1,4,1,0,0,0,0,0,1,0,0
850.0,56.0,1,1,3.0,1,1,0,0,43.4603031,-3.8152542,Cantabria,Numancia - San Fernando,flat,,15.0,2.404,0.175,0.113,1,1,3,6.745236349484363,4.02535169073515,15.178571428571429,12.248973929818641,0.017857142857142856,0.017857142857142856,56.0,0,1888.7979455438694,14.55616461061764,-165.812103935548,0.4595152535980134,0.681102819758502,3136.0,1,1,1,0,0,0,0,0,1,0,0
775.0,46.0,1,1,7.0,1,1,0,0,43.4625048,-3.8204539,Cantabria,Numancia - San Fernando,flat,penthouse,17.0,2.302,0.209,0.143,1,1,7,6.652863029353347,3.828641396489095,16.847826086956523,12.248973929818641,0.021739130434782608,0.021739130434782608,46.0,0,1888.9893234900228,14.59586800202521,-166.04649596692872,0.7167263346014427,0.6682890858659211,2116.0,1,1,1,0,0,0,0,0,1,0,0
1000.0,104.0,2,2,5.0,1,1,1,0,43.437814,-3.8426959,Cantabria,Peñacastillo - Nuevamontaña,flat,duplex,10.0,3.183,0.147,0.287,1,1,5,6.907755278982137,4.6443908991413725,9.615384615384615,12.248973929818641,0.019230769230769232,0.019230769230769232,208.0,0,1886.8436850985963,14.766311779876808,-166.91830976276262,3.799827984340474,0.6293010773511726,10816.0,4,4,1,0,0,0,0,0,1,0,0
1300.0,133.0,3,2,1.0,1,1,1,0,43.4419421,-3.8519308,Cantabria,Peñacastillo - Nuevamontaña,flat,,10.0,3.948,0.145,0.351,1,1,1,7.170119543449628,4.890349128221754,9.774436090225564,12.248973929818641,0.022556390977443608,0.015037593984962405,266.0,0,1887.2023334197522,14.837370887988639,-167.33535478680668,4.038857962620755,0.6052189182629876,17689.0,4,9,1,0,0,0,0,0,1,0,0
