titulo;municipio;precio_eur;superficie_m2;tipo_suelo;vendido_con_descuento;es_urbano_o_urbanizable;precio_m2
Castañeda (Pomaluengo);Castañeda;250000;1531.0;Urbano (solar);False;True;163.29196603527106
Estradas, Ribamontán al Monte (Hoz de Anero);Ribamontán al Monte;80000;1888.0;Urbanizable;False;True;42.3728813559322
Poblado Riaño, Mazcuerras (Riaño de Ibio);Mazcuerras;212900;3804.0;Urbano (solar);False;True;55.96740273396425
Avenida Solvay, Barreda, Torrelavega;Torrelavega;114000;1148.0;Urbano (solar);False;True;99.30313588850174
Barrio Santa Rosa, Villaescusa (Liaño);Villaescusa;590000;6348.0;Urbano (solar);False;True;92.94265910522999
Lloreda (diseminado), Santa María de Cayón;Santa María de Cayón;390000;5655.0;Urbano (solar);False;True;68.96551724137932
Barrio Casuso, Alfoz de Lloredo (Novales);Alfoz de Lloredo;45000;8846.0;No urbanizable;False;False;5.087044992086819
Riva Redonda (Quijas), Reocín;Reocín;75000;3314.0;Urbano (solar);False;True;22.631261315630656
Calle La Richuela, 132, Penagos (El Arenal);Penagos;51400;668.0;Urbano (solar);False;True;76.94610778443113
Barrio San Damil, Alfoz de Lloredo (Cóbreces);Alfoz de Lloredo;315000;1836.0;Urbano (solar);False;True;171.5686274509804
Variés, Udías (Rodezas);Udías;160000;5932.0;Urbanizable;False;True;26.972353337828725
Castañaron, Pol.1 Parc.58, Udías;Udías;400000;19443.0;Urbanizable;False;True;20.57295684822301
Vía, Tanos (Viernoles), Torrelavega;Torrelavega;149000;3062.0;Urbanizable;False;True;48.66100587851078
CA-141, Marina de Cudeyo (Gajano);Marina de Cudeyo;137000;6352.0;Urbano (solar);False;True;21.56801007556675
Barrio Puente San Miguel, 231, Puente San Miguel;Reocín;149000;1683.0;Urbano (solar);False;True;88.5323826500297
Barrio Puente San Miguel (La Robleda), Puente San Miguel;Reocín;865000;4686.0;Urbano (solar);False;True;184.59240290226205
Camino San Pedruco, s/n, Bareyo;Bareyo;24000;3766.0;No urbanizable;False;False;6.372809346787042
Barrio Ontoria, 103, Cabezón de la Sal;Cabezón de la Sal;350000;3344.0;Urbano (solar);False;True;104.66507177033493
Barrio Luzmela-Frankin, 10, Mazcuerras;Mazcuerras;425000;4160.0;Urbanizable;False;True;102.16346153846153
Barrio Gandarilla, 10, Comillas;Comillas;1410000;63600.0;Rústico;False;False;22.169811320754718
Barrio Estradas, Ribamontán al Monte (Hoz de Anero);Ribamontán al Monte;85000;3700.0;Urbanizable;False;True;22.972972972972972
Entrambasaguas (Navajeda);Entrambasaguas;130000;2100.0;Urbano (solar);False;True;61.904761904761905
Vía, Alfoz de Lloredo (La Busta);Alfoz de Lloredo;23600;13332.0;No urbanizable;False;False;1.7701770177017702
Barrio Caranceja, 1033, Reocín;Reocín;53900;400.0;Urbanizable;False;True;134.75
Ribamontán al Monte (Villaverde de Pontones);Ribamontán al Monte;91000;427.0;Urbano (solar);False;True;213.11475409836066
Cartes (Riocorvo);Cartes;39900;225.0;Urbano (solar);False;True;177.33333333333334
Santa María de Cayón (La Penilla);Santa María de Cayón;650000;8300.0;Urbano (solar);False;True;78.3132530120482
Barrio el Llano, 1033, Udías;Udías;45000;378.0;Urbano (solar);False;True;119.04761904761905
Barrio Padierne, Entrambasaguas (Navajeda);Entrambasaguas;100000;2073.0;Urbano (solar);False;True;48.2392667631452
Calle la Fuente, 2, Cartes (Mijarrojos);Cartes;65000;2324.0;Urbano (solar);False;True;27.969018932874356
Barrio Golbardo, 18, Reocín;Reocín;130000;5289.0;Urbano (solar);False;True;24.579315560597465
Mazcuerras (Sierra de Ibio);Mazcuerras;125000;3922.0;Urbano (solar);False;True;31.87149413564508
Carandía, Piélagos;Piélagos;45000;1256.0;Urbano (solar);False;True;35.82802547770701
Calle Joaquín Salas, Santander;Santander;295000;1502.0;Urbano (solar);False;True;196.40479360852197
Carandía, Piélagos;Piélagos;250000;6874.0;Urbano (solar);False;True;36.36892638929299
Somarriba, Liencres, Piélagos;Piélagos;180000;1817.0;Urbano (solar);False;True;99.06439185470556
Santillana del Mar;Santillana del Mar;240000;1800.0;Urbano (solar);False;True;133.33333333333334
Alisal - Cazoña, Santander;Santander;200000;1200.0;Urbano (solar);False;True;166.66666666666666
Avenida Prezanes, Bezana;Santa Cruz de Bezana;149000;815.0;Urbano (solar);False;True;182.82208588957056
Puente Arce, Piélagos;Piélagos;189000;3000.0;Urbanizable;False;True;63.0
Zurita, Piélagos;Piélagos;48000;3600.0;Urbanizable;False;True;13.333333333333334
Parbayón, Piélagos;Piélagos;158000;16062.0;No urbanizable;False;False;9.836882081932512
Maoño, Santa Cruz de Bezana;Santa Cruz de Bezana;110000;395.0;Urbano (solar);False;True;278.4810126582278
Calle Alta, Santander;Santander;115000;45.0;Urbano (solar);False;True;2555.5555555555557
Santillana del Mar;Santillana del Mar;550000;7500.0;Urbano (solar);False;True;73.33333333333333
Bezana, Santa Cruz de Bezana;Santa Cruz de Bezana;101000;15292.0;No urbanizable;False;False;6.604760659168193
Barrio Salcedo, Vioño;Piélagos;80000;2300.0;Urbano (solar);False;True;34.78260869565217
Boo, Piélagos;Piélagos;280000;3167.0;Urbano (solar);False;True;88.4117461319861
Barrio Menocal, Polanco;Polanco;79000;531.0;Urbano (solar);False;True;148.7758945386064
Barrio Riaño, Santillana del Mar;Santillana del Mar;1400000;71450.0;Industrial;False;False;19.59412176347096
Miengo;Miengo;1023000;1870.0;Urbanizable;False;True;547.0588235294117
Calle Aurelio Diez, Renedo;Piélagos;2000000;4968.0;Urbanizable;False;True;402.5764895330113
