id_anuncio;fuente;tipo_inmueble;subtipo;direccion_texto;barrio_zona;municipio;precio_eur;precio_anterior_eur;descuento_pct;garaje_incluido;habitaciones;superficie_m2;planta;exterior;ascensor;obra_nueva_flag
126;Inmobiliarias.com;casa;chalét adosado;Barrio Islares;Oriñón-Allendagua;Castro-Urdiales;225000;;;sí;2;130;;desconocido;desconocido;0
127;Inmobiliarias.com;casa;chalét pareado;Barrio Brazomar;Cotolino;Castro-Urdiales;615000;;;sí;3;250;;desconocido;desconocido;0
128;Inmobiliarias.com;piso;;Barrio Brazomar;Brazomar;Castro-Urdiales;299000;;;desconocido;2;65;bajo;sí;sí;0
129;Gestion inmobiliaria Victoria;piso;;Playa Ostende;Playa Ostende;Castro-Urdiales;350000;;;sí;3;112;bajo;sí;sí;0
130;Inmobiliaria JC de Laredo;casa;chalét independiente;El Puntal;El Puntal;Laredo;550000;;;desconocido;4;250;;desconocido;desconocido;0
131;Inmobiliaria E-Castro;casa;casa de piedra;Barrio Allendelagua, 30;Oriñón-Allendagua;Castro-Urdiales;240000;;;desconocido;4;234;;desconocido;desconocido;0
132;Exclusivas inmobiliarias mikeli;piso;;Bajada de la Encina;El Sardinero;Santander;790000;;;sí;4;141;2;sí;sí;0
133;Exclusivas inmobiliarias mikeli;piso;;Calle Bonifaz;Puerto Chico;Santander;385000;;;desconocido;2;80;5;sí;no;0
134;Inmobiliaria JC de Laredo;ático;;Avenida los Caleros;Ris;Noja;350000;;;desconocido;3;90;4;sí;sí;0
135;Deluxe;piso;;El Sardinero;El Sardinero;Santander;925000;;;desconocido;3;133;6;sí;sí;0
136;Inmobiliaria JC de Laredo;dúplex;;Calle Emperador;Centro;Laredo;299000;;;desconocido;3;115;3;sí;sí;0
137;Inmobiliarias.com;piso;;Barrio Oriñón;Oriñón-Allendagua;Castro-Urdiales;199900;;;sí;2;71;1;sí;sí;0
138;Inmobiliarias.com;casa;chalét adosado;Barrio Otañes;Mioño-Santullán;Castro-Urdiales;275000;;;sí;3;115;;desconocido;desconocido;0
139;MiPiso.com;piso;;Francia, 18;Zona Playa;Laredo;490000;;;desconocido;4;108;5;sí;sí;0
140;Inmobiliaria Uranga;piso;;Calle República de Costa Rica;Zona Playa;Laredo;259000;;;sí;2;70;7;sí;sí;0
141;Inmobiliaria Mi Villa;piso;;Avenida de España;Centro;Laredo;498000;;;sí;3;100;bajo;sí;no;0
