fuente,tipo_inmueble,subtipo,direccion_texto,barrio_zona,municipio,precio_eur,garaje_incluido,habitaciones,superficie_m2,planta,exterior,ascensor,finca
Fincas Mafer,piso,apartamento,"Calle Duque de Ahumada, 9",Centro,Laredo,245000.0,,3.0,103.0,1.0,1.0,0.0,0
MiPiso.com,casa,casa adosada,"Camino Derecha, 27 -13",El Callejo - La Pesquera - La Arenosa,Laredo,225000.0,1.0,3.0,207.0,0.0,,,0
Trece Home,piso,apartamento,Calle los Nogales,Tregadín,Noja,215000.0,1.0,2.0,61.0,2.0,1.0,,0
Fincas Mafer,casa,casa independiente,"Calle San Marcial, 23",Centro,Laredo,158000.0,,3.0,60.0,0.0,,,0
donpiso Santander,piso,apartamento,Calle Isaac Peral,Numancia - San Fernando,Santander,190000.0,,3.0,79.0,1.0,1.0,1.0,0
Inmobiliaria Eurocasa,piso,apartamento,Calle San Celedonio,General Dávila,Santander,340000.0,,2.0,106.0,0.0,1.0,0.0,0
Inmosantander,dúplex,,Av Cantabria,Valdenoja,Santander,695000.0,1.0,4.0,176.0,4.0,1.0,1.0,0
ELITE,piso,apartamento,Calle Ataulfo Argenta Músico,Puerto Chico,Santander,740000.0,,4.0,149.0,5.0,1.0,1.0,0
Inmobiliaria PAS-NuevoPiso,piso,apartamento,Calle Justicia,Cuatro Caminos,Santander,395000.0,1.0,2.0,72.0,3.0,1.0,1.0,0
RK IDEPISOS,piso,apartamento,Calle Francisco de Quevedo,Centro - Ayuntamiento,Santander,440000.0,,3.0,124.0,3.0,1.0,1.0,0
ELITE,casa,casa independiente,El Sardinero,El Sardinero,Santander,1395000.0,,12.0,337.0,0.0,,,0
Inmobiliarias.com,casa,casa adosada,"Montesolmar, 22",Centro,Castro-Urdiales,800000.0,1.0,4.0,350.0,0.0,,,0
Inmobiliarias.com,piso,apartamento,"Calle República Argentina, 9",Centro,Castro-Urdiales,400000.0,,4.0,143.0,5.0,1.0,1.0,0
Inmobiliarias.com,piso,apartamento,Barrio Brazomar,Brazomar,Castro-Urdiales,285000.0,1.0,3.0,85.0,4.0,1.0,1.0,0
Inmonorte,piso,apartamento,Avenida de Francia,El Puntal,Laredo,138000.0,,1.0,40.0,0.0,1.0,1.0,0
Inmobiliaria Salazar,piso,apartamento,Calle Teresa de Calcuta,Cotolino,Castro-Urdiales,163000.0,,1.0,42.0,5.0,1.0,1.0,0
Inmobiliarias.com,piso,apartamento,Islares,Islares,Castro-Urdiales,197000.0,,3.0,115.0,0.0,1.0,1.0,0
Mirapiso,dúplex,,"Calle Ontanilla, 6",Tregadín,Noja,249900.0,1.0,3.0,83.0,2.0,1.0,0.0,0
Inmobiliaria Barrio,piso,apartamento,Calle Calderón de la Barca,Castilla - Hermida,Santander,540000.0,,4.0,155.0,5.0,1.0,1.0,0
Inmobiliarias.com,dúplex,,Residencial los arces,Oriñón-Allendagua,Castro-Urdiales,319000.0,1.0,3.0,120.0,0.0,1.0,0.0,0
Inmonojasol s.l,piso,apartamento,Paseo de Trengandín,Tregadín,Noja,230000.0,1.0,2.0,62.0,1.0,1.0,0.0,0
Distrito inmobiliario,casa,casa independiente,Urbanización la Mina,Arce,Piélagos,890000.0,1.0,6.0,620.0,0.0,,,0
Inmobiliarias.com,casa,casa independiente,Ayuntamientos Democraticos,Cotolino,Castro-Urdiales,850000.0,1.0,5.0,365.0,0.0,,,0
Inmobiliaria E-Castro,piso,apartamento,"Calle Bajada del Chorrillo, 8",Centro,Castro-Urdiales,235000.0,,2.0,91.0,2.0,1.0,1.0,0
Inmobiliaria las Dunas,piso,apartamento,"Calle Marqués de la Hermida, 72",Castilla - Hermida,Santander,250000.0,,3.0,94.0,2.0,1.0,1.0,0
MENA INMOBILIARIA,piso,apartamento,El Parque - Zapatón,El Parque - Zapatón,Torrelavega,160000.0,,3.0,93.0,3.0,1.0,1.0,0
Exclusivas inmobiliarias mikeli,dúplex,,Paseo Menéndez Pelayo,General Dávila,Santander,530000.0,,4.0,162.0,,1.0,0.0,0
Exclusivas inmobiliarias mikeli,casa,casa independiente,Barrio la Soledad,Arce,Piélagos,950000.0,1.0,6.0,274.0,0.0,,,0
