codigo_inmueble,precio,superficie_construida_m2,numero_dormitorios,numero_banos,tipologia,subtipologia,provincia,municipio,distrito,latitud,longitud,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km
110748692,155000.0,74.0,2,2,flat,,Cantabria,Limpias,,43.3664089,-3.4157838,2,True,True,,False,6.109,2.602,0.756
110760776,260000.0,92.0,3,1,flat,,Cantabria,Laredo,Zona Playa,43.4078486,-3.4321949,3,True,True,,False,1.958,0.256,0.108
110757133,352000.0,70.0,3,1,flat,,Cantabria,Laredo,Centro,43.4138998,-3.4132672,2,True,True,,False,2.623,0.153,0.203
110756052,648000.0,161.0,4,3,chalet,independantHouse,Cantabria,Liendo,,43.3873606,-3.3694706,,,,,False,2.824,4.509,0.955
110751825,93000.0,79.0,3,2,flat,,Cantabria,Laredo,Centro,43.4122643,-3.412578,1,True,False,,False,2.584,0.159,0.134
110751873,225000.0,85.0,3,2,flat,,Cantabria,Santoña,,43.4480977,-3.4587116,4,,True,,False,1.01,0.61,0.064
110748501,315000.0,119.0,3,2,flat,duplex,Cantabria,Santoña,,43.4415531,-3.4580246,3,True,True,,False,0.288,0.022,0.257
110746162,360000.0,205.0,5,2,chalet,terracedHouse,Cantabria,Laredo,Zona Playa,43.41607,-3.4433323,,,,True,False,0.802,0.426,0.973
110740271,177500.0,82.0,2,2,flat,,Cantabria,Barcena de Cicero,,43.3917047,-3.4700481,2,True,True,True,False,3.44,0.32,1.191
110738210,93000.0,100.0,4,3,flat,,Cantabria,Santoña,,43.4486318,-3.4544094,4,True,True,,False,1.028,0.608,0.174
110736899,250000.0,70.0,2,2,flat,,Cantabria,Colindres,,43.3920285,-3.4495707,2,True,True,,False,3.174,0.261,0.228
110733745,199000.0,731.0,8,1,chalet,independantHouse,Cantabria,Voto,,43.3783409,-3.4879696,,,,,False,5.418,2.014,3.239
110729164,190000.0,70.0,2,1,flat,,Cantabria,Laredo,Zona Playa,43.4159881,-3.4390768,3,True,True,True,False,0.899,0.653,0.759
110731784,490000.0,139.0,3,2,flat,,Cantabria,Laredo,Zona Playa,43.416799,-3.4413447,5,True,True,True,False,0.749,0.455,0.931
110723885,352000.0,70.0,3,1,flat,,Cantabria,Laredo,Zona Playa,43.4086406,-3.4343358,2,True,True,,False,1.801,0.223,0.147
110705538,395000.0,188.0,5,2,chalet,terracedHouse,Cantabria,Laredo,El Puntal,43.427654,-3.4499696,,,,True,False,0.691,0.97,1.494
110653865,299000.0,75.0,2,1,flat,,Cantabria,Laredo,Centro,43.4137865,-3.4131095,4,True,True,,False,2.611,0.151,0.197
110703993,85000.0,138.0,1,0,chalet,,Cantabria,Ampuero,,43.3525647,-3.4180071,,,,,False,7.577,1.061,0.464
110703999,32000.0,138.0,3,2,chalet,,Cantabria,Ampuero,,43.348381,-3.434159,,,,,False,7.099,1.491,1.01
110703971,30000.0,162.0,3,2,chalet,,Cantabria,Ampuero,,43.3522999,-3.4175888,,,,,False,7.591,1.03,0.466
110703963,550000.0,268.0,4,2,flat,,Cantabria,Laredo,Zona Playa,43.4172457,-3.441568,6,True,True,True,False,0.696,0.408,0.982
110703968,207000.0,58.0,2,1,flat,,Cantabria,Limpias,,43.3572016,-3.4200454,bj,True,True,True,False,7.178,1.591,0.413
110700773,87000.0,75.0,3,1,flat,,Cantabria,Santoña,,43.4456886,-3.4589093,,False,False,,False,0.75,0.402,0.265
110699258,83000.0,99.0,3,2,flat,,Cantabria,Santoña,,43.4469625,-3.4553078,,False,False,,False,0.846,0.418,0.124
110694623,490000.0,140.0,3,2,flat,,Cantabria,Laredo,Zona Playa,43.416799,-3.4413447,5,True,True,True,False,0.749,0.455,0.931
