propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,newDevelopmentHighlight,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,source_run
110849392,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/9e/b4/1417425143.webp,0803-95022-AMOS,14,7,950.0,duplex,rent,80.0,True,2,2,calle Amos de Escalante,Cantabria,Santander,Centro - Ayuntamiento,es,43.461626,-3.811724,False,https://www.idealista.com/inmueble/110849392/,7770,"Piso dúplex, junto al Ayuntamiento, de alquiler en pleno centro, junto a todo los servicios, orientado al Sur con grandes ventanales y buenas vistas. Oportunidad. Tiene 2 baños uno en cada planta. Abajo salón cocina y baño. Y arriba dormitorio tipo suite + otro salón con sofá de 2 camas. Armario de pared a pared. Muebles de Soco Restegui. Se pide solvencia acreditada con seguro de alquiler.  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,12.0,False,False,False,False,[],False,False,False,950.0,€/mes,flat,"Centro - Ayuntamiento, Santander",Dúplex en calle Amos de Escalante,,,duplex,,,,,rent_homes_run_20260310_171627
110849461,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d7/62/e1/1417427909.webp,0803-95021-LLUCH,1,3,950.0,flat,rent,70.0,True,2,1,calle Ernest Lluch,Cantabria,Santander,Monte,es,43.4750461,-3.812043,False,https://www.idealista.com/inmueble/110849461/,7878,"Primeros números de Ernest Lluch, estamos preparando un piso orientado al Sur //////SEMIAMUEBLADO////// Tiene armario empotrados. Incluye garaje y trastero. Oportunidad.  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,14.0,False,False,False,False,[],False,False,False,950.0,€/mes,flat,"Monte, Santander",Piso en calle Ernest Lluch,True,True,,,,,,rent_homes_run_20260310_171627
110852042,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ff/f5/15/1417479317.webp,0803-140032-ANDRES-ESCOLAR ,11,1,1400.0,flat,rent,100.0,True,3,2,calle Andrés del Río,Cantabria,Santander,Puerto Chico,es,43.4633885,-3.7961451,False,https://www.idealista.com/inmueble/110852042/,9028,"En pleno Puerto Chico. ///// NO SE ALQUILA PARA FIJO ///// Disponible para el curso escolar 2026–2027. Alquiler dirigido a estudiantes o profesionales desplazados con contrato temporal. Por normativa vigente, es obligatorio justificar la temporalidad del arrendamiento. *Por favor, abstenerse quienes busquen alquiler para residencia permanente**  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,14.0,False,False,False,False,[],False,False,False,1400.0,€/mes,flat,"Puerto Chico, Santander",Piso en calle Andrés del Río,,,,,,,,rent_homes_run_20260310_171627
110852109,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/47/a3/70/1417482492.webp,,8,1,750.0,flat,rent,88.0,True,2,1,calle General Moscardó,Cantabria,Santander,Castilla - Hermida,es,43.4555696,-3.8209072,False,https://www.idealista.com/inmueble/110852109/,7065,"Hoy Calle Bernardo de Miera y Pacheco. Piso de alquiler para 2 fechas. ////DESDE LA ACTUALIDAD HASTA JUNIO INLUIDO///// y //// CURSO ESCOLAR 26 - 27///// ///// NO SE ALQUILA PARA FIJO ///// Alquiler dirigido a estudiantes o profesionales desplazados con contrato temporal. Por normativa vigente, es obligatorio justificar la temporalidad del arrendamiento. *Por favor, abstenerse quienes busquen alquiler para residencia permanente**  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,9.0,False,False,False,False,[],False,False,False,750.0,€/mes,flat,"Castilla - Hermida, Santander",Piso en calle General Moscardó,,,,,,,,rent_homes_run_20260310_171627
110849597,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9c/f2/77/1417430799.webp,,10,2,1000.0,flat,rent,110.0,True,3,1,calle Nicolás Salmerón,Cantabria,Santander,Castilla - Hermida,es,43.4580604,-3.8107909,False,https://www.idealista.com/inmueble/110849597/,7857,"Junto a las estaciones de FEVE y Adif y Autobuses. ///// NO SE ALQUILA PARA FIJO ///// NO ALQUILER PARA VACACIONES. Alquiler dirigido a estudiantes o profesionales desplazados con contrato temporal. Por normativa vigente, es obligatorio justificar la temporalidad del arrendamiento. Por favor, abstenerse quienes busquen alquiler para residencia permanente*  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,9.0,False,False,False,False,[],False,False,False,1000.0,€/mes,flat,"Castilla - Hermida, Santander",Piso en calle Nicolás Salmerón,,,,,,,,rent_homes_run_20260310_171627
110838361,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3c/c1/89/1417106309.webp,35061,23,bj,850.0,flat,rent,80.0,True,2,1,avenida Parayas,Cantabria,Santander,Peñacastillo - Nuevamontaña,es,43.4457678,-3.8339963,False,https://www.idealista.com/inmueble/110838361/,6239,"Se alquila piso de 2 habitaciones, salón, cocina y 1 baño. TOTALMENTE REFORMADO. Amueblado y se alquila para fijo, se requiere seguro de alquiler. Es un bajo.",False,good,False,False,11.0,False,False,False,False,[],False,False,False,850.0,€/mes,flat,"Peñacastillo - Nuevamontaña, Santander",Piso en avenida Parayas,,,,,,,,rent_homes_run_20260310_171627
110789922,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/42/97/35/1415589012.webp,04912,34,2,900.0,flat,rent,89.0,True,2,2,calle Rosalía de Castro,Cantabria,Santander,Peñacastillo - Nuevamontaña,es,43.437364,-3.8555429,False,https://www.idealista.com/inmueble/110789922/,5043,"Entre Peñacastillo y Nueva Montaña, puedes estrenar vivienda en ALQUILER FIJO (larga estancia). Se trata de un piso amueblado de 2 dormitorios, con calefacción y garaje. Ideal singles o parejas con buen perfil profesional.    Se trata de una vivienda de reciente construcción, en el distrito de ampliación de Santander, rodeada de zonas verdes, supermercados, gym y centro comercial. Además, existen varias líneas de autobús municipal que operan en el entorno.    Condiciones de la propiedad:    Seguro de impago ARAG. Deberás acreditar ingresos en España fijos netos mensuales superiores a 2.250 €.     Si cumples los requisitos, solicita tu visita por whatsapp en el teléfono.",False,good,False,False,10.0,False,False,False,False,[],False,False,False,900.0,€/mes,flat,"Peñacastillo - Nuevamontaña, Santander",Piso en calle Rosalía de Castro,True,True,,,,,,rent_homes_run_20260310_171627
110835520,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/18/f2/38/1417012667.webp,MIES670,14,3,750.0,flat,rent,58.0,True,1,1,General Dávila,Cantabria,Santander,General Dávila,es,43.4607762,-3.8229969,False,https://www.idealista.com/inmueble/110835520/,6861,"Mies de Rial presenta en alquiler un precioso apartamento listo para entrar a vivir en un buen edificio con ascensor en la zona de Cuatro Caminos-Perines, a un paso de la Alameda de Oviedo, el Hospital de Valdecilla y Ministerios.  Se trata de una vivienda cálida y hogareña, bien distribuida en hall de entrada, salón comedor, cocina independiente amueblada y equipada y 1 baño. Un piso con buenas calidades en una edificación moderna, práctico y cómodo. Imprescindible seguro de impago, sometido a decisión última del propietario.",True,good,False,True,13.0,False,False,False,False,[],False,False,False,750.0,€/mes,flat,"General Dávila, Santander",Piso,,,,,,,,rent_homes_run_20260310_171627
110830425,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/af/47/65/1416846365.webp,G02264,26,3,800.0,flat,rent,60.0,True,1,1,Centro - Ayuntamiento,Cantabria,Santander,Centro - Ayuntamiento,es,43.4610277,-3.8139095,False,https://www.idealista.com/inmueble/110830425/,7594,"�️ ¡Oportunidad única! Este encantador piso reformado se encuentra en pleno centro de Santander, junto a la Calle Burgos. Rodeado por árboles y con todas las comodidades al alcance: supermercados, tiendas de ropa, cafeterías y farmacias a pocos pasos del edificio. � La ubicación es inmejorable gracias a la cercanía tanto autobuses como comercios, colegios y más servicios necesarios que harán tu vida diaria mucho más cómoda. EXCLUSIVO PERSONAL SANITARIO O FUNCIONARIOS. � El piso cuenta con un amplio dormitorio equipado con grandes armarios empotrados, con cama doble y escritorio. Además, disfrutarás del acceso a un balcón. El luminoso salón comedor destaca por su amplitud y sus dos cómodos sofás ideales para relajarte después del trabajo �, y mesa extensible perfecta para recibir visitas. � La cocina está completamente equipada (horno, microondas, frigorífico, cafetera ☕ e incluso lavavajillas) facilitando así tu día a día. Por último, un moderno baño completo equipado con bañera �. ¡No esperes más! Esta oportunidad podría ser justo lo que estabas buscando. � Dada la demanda actual, las visitas se realizarán exclusivamente en jornadas programadas y siguiendo un riguroso orden de contacto. Se sugiere máxima antelación para garantizar disponibilidad en los horarios establecidos. Nota: El acceso a la visita está sujeto al cumplimiento previo de los requisitos imprescindibles y disponibilidad del equipo comercial. TRANSPARENCIA GESTIÓN INMOBILIARIA: - No se admiten mascotas. - Sujeto a decisión última del cliente propietario. - Imprescindible seguro de alquiler. - Honorarios inmobiliarios incluidos en el precio. - Consultar resto de condiciones.",False,good,False,True,13.0,True,False,True,False,[],False,False,False,800.0,€/mes,flat,"Centro - Ayuntamiento, Santander",Piso,,,,,,,,rent_homes_run_20260310_171627
110822709,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/ae/ae/1416628205.webp,26-0005,9,3,950.0,flat,rent,91.0,True,3,2,avenida Herrera Oria,Cantabria,Santander,Alisal - Cazoña - San Román,es,43.456897,-3.855327,False,https://www.idealista.com/inmueble/110822709/,4288,"¡Descubre tu nuevo hogar en este magnífico piso de 91 m²! Con 3 amplias habitaciones y 2 baños, este espacio es ideal para familias o parejas que buscan comodidad y estilo. Situado en una zona tranquila y bien comunicada, tendrás todo lo que necesitas a un paso: supermercados, centros de salud y más. La orientación sur garantiza que el sol inunde cada rincón, creando un ambiente cálido y acogedor. Además, cuenta con calefacción por gas natural y ventanas de PVC que aseguran un excelente aislamiento. Este piso, en segunda mano pero en buen estado, se encuentra en la tercera planta de un edificio con ascensor, lo que facilita el acceso. Y no te preocupes por el aparcamiento, ya que la plaza de garaje está incluida en el precio. Recuerda que se requiere un mes de fianza, mes de garantía extraordinaria y un seguro de alquiler obligatorio. ¡No dejes pasar esta oportunidad y ven a visitarlo!",True,good,False,True,10.0,False,False,False,False,[],False,False,False,950.0,€/mes,flat,"Alisal - Cazoña - San Román, Santander",Piso en avenida Herrera Oria,True,True,,,,,,rent_homes_run_20260310_171627
110822077,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4f/26/4e/1416600051.webp,,11,4,800.0,flat,rent,70.0,True,2,1,calle Castilla,Cantabria,Santander,Castilla - Hermida,es,43.4569076,-3.8105174,False,https://www.idealista.com/inmueble/110822077/,7887,"Junto a la Plaza de las estaciones, edificio de calidad. Piso muy acogedor y reformado. NO SE ADMITEN MASCOTAS  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,11.0,False,False,False,False,[],False,False,False,800.0,€/mes,flat,"Castilla - Hermida, Santander",Piso en calle Castilla,,,,,900.0,100.0,11.0,rent_homes_run_20260310_171627
110817510,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/05/8e/61/1416597595.webp,0403-120032-POLIO ,10,6,1100.0,flat,rent,95.0,True,3,2,Bajada de Polio,Cantabria,Santander,Los Castros,es,43.467994,-3.8079872,False,https://www.idealista.com/inmueble/110817510/,8098,"Piso amplio entre Paseo Altamira y Avenida de los Castros. Reformado. Tiene garaje. ////NO SE ADMITEN MASCOTAS//// Muy acogedor…  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,12.0,False,False,False,False,[],False,False,False,1100.0,€/mes,flat,"Los Castros, Santander",Piso en Bajada de Polio,True,True,,,,,,rent_homes_run_20260310_171627
110777084,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1c/f8/19/1415217775.webp,,18,1,800.0,flat,rent,70.0,True,2,1,plaza de la Constitucion,Cantabria,El Astillero,,es,43.4016504,-3.8212239,False,https://www.idealista.com/inmueble/110777084/,9701,"Piso confortable con su terracita. IDEAL PARA UNA PAREJA. /////no se admiten mascotas//////.  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,11.0,False,False,False,False,[],False,False,False,800.0,€/mes,flat,El Astillero,Piso en plaza de la Constitucion,,,,,,,,rent_homes_run_20260310_171627
110790725,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/58/83/7d/1415618729.webp,,9,3,800.0,flat,rent,65.0,True,2,1,calle Ricardo López Aranda,Cantabria,Santander,Peñacastillo - Nuevamontaña,es,43.4417376,-3.8596891,False,https://www.idealista.com/inmueble/110790725/,4503,"Zona residencial y tranquila. Piso con garaje y trastero. NO SE ADMITEN MASCOTAS. Oportunidad. Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,12.0,False,False,False,False,[],False,False,False,800.0,€/mes,flat,"Peñacastillo - Nuevamontaña, Santander",Piso en calle Ricardo López Aranda,True,True,,,,,,rent_homes_run_20260310_171627
110779575,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/80/c2/28/1415271493.webp,0103-125032-FERNANDO,33,9,1300.0,flat,rent,140.0,True,3,2,calle San Fernando,Cantabria,Santander,Cuatro Caminos,es,43.4615973,-3.822199,False,https://www.idealista.com/inmueble/110779575/,6924,"Piso alto, soleado al Sur, pequeña terracita. 2 camas de matrimonio y un tercer dormitorio con 2 camas. *NO SE ADMITEN MASCOTAS Ideal matrimonio maduro o personal funcionario, ingeniería, sanidad, etc. ….  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,9.0,False,False,False,False,[],False,False,False,1300.0,€/mes,flat,"Cuatro Caminos, Santander",Piso en calle San Fernando,,,,,,,,rent_homes_run_20260310_171627
110776873,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dd/51/93/1415214508.webp,,1,3,950.0,flat,rent,70.0,True,2,1,calle Ernest Lluch,Cantabria,Santander,Monte,es,43.4731283,-3.8096355,False,https://www.idealista.com/inmueble/110776873/,8033,"Primeros números de Ernest Lluch, estamos preparando un piso orientado al Sur //////SEMIAMUEBLADO////// Tiene armario empotrados. Incluye garaje y trastero. Oportunidad.  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,14.0,False,False,False,False,[],False,False,False,950.0,€/mes,flat,"Monte, Santander",Piso en calle Ernest Lluch,True,True,,,,,,rent_homes_run_20260310_171627
