tipo_operacion,precio,superficie_construida_m2,numero_dormitorios,numero_banos,tipologia,subtipologia,provincia,municipio,distrito,latitud,longitud,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km
venta,399000.0,115.0,2,2,flat,duplex,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4457448,-3.8300321,3,True,True,True,False,3.132,1.191,0.831
venta,190000.0,69.0,3,1,flat,desconocido,Cantabria,Santander,Cuatro Caminos,43.4612776,-3.8260955,2,True,False,False,False,2.207,0.1,0.117
venta,178000.0,68.0,2,1,flat,desconocido,Cantabria,Santander,General Dávila,43.4633626,-3.8286725,1,True,False,True,False,1.917,0.215,0.01
venta,243000.0,87.0,3,2,flat,desconocido,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4412358,-3.8520146,1,True,True,True,False,4.02,0.081,0.316
venta,265000.0,88.0,3,2,flat,desconocido,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.443439,-3.8518134,3,True,True,True,False,3.792,0.206,0.431
venta,595000.0,500.0,4,3,chalet,independantHouse,Cantabria,Medio Cudeyo,desconocido,43.3918521,-3.7818539,desconocido,False,False,True,False,4.018,2.721,1.431
venta,3600000.0,320.0,3,1,chalet,independantHouse,Cantabria,Santander,El Sardinero,43.4775881,-3.7889395,desconocido,False,False,False,False,0.147,0.091,0.299
venta,225000.0,63.0,2,2,flat,desconocido,Cantabria,Santander,Castilla - Hermida,43.4526433,-3.8208039,1,True,True,False,False,3.051,0.187,0.305
venta,215000.0,86.0,3,1,flat,desconocido,Cantabria,Santander,Centro - Ayuntamiento,43.4637386,-3.8110879,3,True,True,False,False,2.055,0.04,0.13
venta,2550000.0,270.0,5,3,chalet,independantHouse,Cantabria,Santander,El Sardinero,43.4673281,-3.7818765,desconocido,False,False,True,False,0.288,0.601,0.227
venta,345000.0,95.0,3,2,flat,desconocido,Cantabria,Santa Cruz de Bezana,Sancibrián,43.4640107,-3.8759505,bj,True,True,True,True,1.474,0.067,0.479
venta,290000.0,77.0,2,2,flat,penthouse,Cantabria,Cudon,desconocido,43.4157856,-4.0117209,1,True,False,False,False,2.303,1.821,2.183
venta,84000.0,74.0,2,1,flat,desconocido,Cantabria,Santander,Alisal - Cazoña - San Román,43.4583425,-3.8383045,1,True,False,False,False,2.312,0.265,0.108
venta,350000.0,94.0,3,1,flat,desconocido,Cantabria,Santander,Centro - Ayuntamiento,43.4622092,-3.8129062,desconocido,True,True,True,False,2.199,0.072,0.339
venta,169000.0,76.0,3,1,flat,desconocido,Cantabria,Santander,Cuatro Caminos,43.4562878,-3.8216071,3,True,False,False,False,2.861,0.224,0.163
venta,220000.0,65.0,3,1,flat,desconocido,Cantabria,Santander,Los Castros,43.4717584,-3.79231,bj,True,False,False,False,0.746,0.224,0.104
venta,830000.0,171.0,3,3,flat,desconocido,Cantabria,Santander,Puerto Chico,43.4644367,-3.7985285,4,True,True,False,False,1.055,0.063,0.122
venta,244900.0,147.0,3,2,flat,desconocido,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4462846,-3.8474259,1,True,True,True,False,3.628,0.535,0.089
venta,298000.0,89.0,3,1,flat,desconocido,Cantabria,Santander,General Dávila,43.4672628,-3.8122299,1,True,True,False,False,2.202,0.194,0.11
venta,250000.0,116.0,4,1,flat,desconocido,Cantabria,Santander,General Dávila,43.4621503,-3.8187488,desconocido,True,False,False,False,2.414,0.069,0.081
venta,470000.0,263.0,4,3,chalet,independantHouse,Cantabria,Piélagos,Boo,43.4338358,-3.9432367,desconocido,False,False,True,False,2.34,2.254,1.203
venta,750000.0,124.0,2,3,flat,desconocido,Cantabria,Santander,Puerto Chico,43.4631283,-3.7991254,3,True,True,False,False,1.087,0.087,0.038
venta,180000.0,49.0,1,1,flat,desconocido,Cantabria,Piélagos,Mortera,43.4447777,-3.9239825,bj,True,False,False,False,2.845,1.52,1.264
