codigo_inmueble,precio,superficie_construida_m2,numero_dormitorios,numero_banos,tipologia,subtipologia,provincia,municipio,distrito,latitud,longitud,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km
34332122,1100.0,78.0,3,2,flat,,Cantabria,Santander,Castilla - Hermida,43.4558771,-3.8121218,2,True,True,,False,2.268,0.185,0.125
110959890,850.0,90.0,2,1,flat,,Cantabria,Santander,Castilla - Hermida,43.4515918,-3.8229647,9,,True,,False,3.257,0.335,0.275
110956931,1000.0,110.0,3,1,flat,,Cantabria,Santander,Castilla - Hermida,43.4588523,-3.8124502,2,True,True,,False,2.205,0.218,0.172
110956221,900.0,69.0,2,1,flat,,Cantabria,Santander,Castilla - Hermida,43.45855,-3.8101639,3,True,True,,False,2.032,0.051,0.115
87432579,850.0,75.0,2,1,flat,,Cantabria,Santander,Castilla - Hermida,43.456224,-3.81754,6,True,True,,False,2.673,0.114,0.219
110955000,1100.0,117.0,3,2,flat,,Cantabria,Santander,Cuatro Caminos,43.4574977,-3.8224225,3,True,True,,False,2.711,0.218,0.095
100802137,1255.0,80.0,3,1,flat,,Cantabria,Santander,Cuatro Caminos,43.4601341,-3.8248253,1,True,True,True,False,2.364,0.094,0.177
110930841,750.0,88.0,2,1,flat,,Cantabria,Santander,Castilla - Hermida,43.455315,-3.8212851,1,True,True,,False,2.97,0.113,0.238
110928902,950.0,94.0,3,2,flat,,Cantabria,Santander,Peñacastillo - Nuevamontaña,43.4477706,-3.8550145,1,True,True,,False,3.256,0.261,0.175
110841001,780.0,48.0,2,1,flat,,Cantabria,Santander,Numancia - San Fernando,43.4589109,-3.8198105,3,True,True,,False,2.668,0.045,0.17
108168866,650.0,45.0,1,1,flat,penthouse,Cantabria,Santander,General Dávila,43.4631836,-3.8241604,3,True,False,,False,2.082,0.168,0.059
110868932,1200.0,110.0,3,2,flat,,Cantabria,Santander,Cuatro Caminos,43.4564221,-3.8271753,1,True,True,True,False,2.689,0.298,0.135
110868859,1000.0,81.0,2,2,flat,,Cantabria,Santander,Alisal - Cazoña - San Román,43.4632299,-3.8431446,4,True,True,True,False,1.8,0.483,0.328
110852038,1050.0,115.0,3,2,flat,,Cantabria,Santander,Alisal - Cazoña - San Román,43.4580973,-3.8382243,3,True,True,,False,2.339,0.29,0.119
95490320,990.0,80.0,2,2,flat,,Cantabria,Santander,Castilla - Hermida,43.454935,-3.8110435,3,True,True,,False,2.225,0.321,0.172
110767389,925.0,78.0,3,1,flat,,Cantabria,Santander,Cuatro Caminos,43.4594188,-3.8230466,4,False,True,,False,2.496,0.022,0.098
110743681,1065.0,120.0,3,2,flat,,Cantabria,Santander,Alisal - Cazoña - San Román,43.462617,-3.8431236,1,True,True,,False,1.866,0.416,0.346
110761733,825.0,66.0,2,1,flat,,Cantabria,Santander,Numancia - San Fernando,43.4626212,-3.8215736,4,True,True,,False,2.242,0.286,0.135
