propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,newDevelopmentHighlight,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,floor,exterior,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
110637189,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/75/f8/d0/1410933732.webp,29,1100.0,flat,rent,112.0,3,2,calle Luis Vicente de Velasco,Cantabria,Santander,Alisal - Cazoña - San Román,es,43.4566612,-3.8335629,False,https://www.idealista.com/inmueble/110637189/,5839,"Inmobiliaria TECNOCASA Plaza de las Cervezas alquila en exclusiva: ¡Descubre este fantástico piso en alquiler que combina amplitud, luminosidad y unas vistas impresionantes! Situado en una décima planta, este hogar cuenta con una orientación sur-este que inunda de luz natural todos sus rincones. Con 112 m² construidos y 97 m² útiles, el piso dispone de 3 dormitorios, un salón-comedor ideal para disfrutar de momentos en familia y una cocina independiente. Los dos baños completos, uno de ellos en suite, ofrecen comodidad y privacidad. Además, podrás relajarte en la terraza o el balcón mientras contemplas las vistas. Este inmueble también incluye una plaza de garaje, lo que añade un gran valor a la propiedad. La ubicación es inmejorable, justo al lado del Hospital Universitario Marqués de Valdecilla, lo que facilita el acceso a servicios y transporte. El edificio cuenta con dos ascensores, un amplio portal y portero físico, lo que garantiza seguridad y comodidad.  Con armarios empotrados y calefacción de gas natural, este piso de segunda mano se encuentra en buen estado y listo para ser habitado.  No pierdas la oportunidad de vivir en un lugar que lo tiene todo. ¡Ven a verlo y enamórate de tu nuevo hogar!",False,good,False,True,10.0,False,False,False,False,[],False,False,False,1100.0,€/mes,flat,,"Alisal - Cazoña - San Román, Santander",Piso en calle Luis Vicente de Velasco,Daniel González - 642 989 860,10,True,True,True,,,,
88711345,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ef/77/99/753337448.webp,11,780.0,flat,rent,70.0,1,1,san fernando,Cantabria,Santander,Numancia - San Fernando,es,43.4620604,-3.8187389,False,https://www.idealista.com/inmueble/88711345/,7153,"Se alquila apartamento en Calle San Fernando, Ubicación céntrica, cerca del centro de la ciudad y del Hospital Universitario Marqués de Valdecilla.  La zona cuenta con una amplia gama de servicios.  Transporte público, hay una parada de autobús justo en la puerta.   La vivienda esta distribuida en Salón, cocina, habitación con zona de vestidor y baño. No dude en contactar, respondiendo a éste anuncio, llamándonos, o acercándose a cualquiera de nuestras Oficinas, en Santander, en C Juan de Herrera 8, y en Soto de la Marina, en Avenida Marques de Valdecilla 98.",False,good,False,True,11.0,False,False,False,False,[],False,False,False,780.0,€/mes,flat,,"Numancia - San Fernando, Santander",Piso en san fernando,acr-00601,3,True,,,,,,
101662667,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/99/ab/76/1129588049.webp,22,750.0,flat,rent,68.0,2,2,calle Navarra,Cantabria,El Astillero,,es,43.3994274,-3.8217254,False,https://www.idealista.com/inmueble/101662667/,8230,"Arrenda alquila fabuloso piso amueblado en zona Astillero. Distribuido en 2 dormitorios, cocina amueblada y equipada, salón-comedor y 2 baños (uno con bañera y otro con plato de ducha). Todas las estancias con acceso a terraza. Exterior y luminoso. Dispone de calefacción individual de gas natural, ventanas de aluminio con persianas eléctricas y suelo de parquet. Edificio con ascensor. Orientación Noroeste. No se aceptan mascotas. No lo dude y llámenos para visitarlo sin compromiso. Ref: ARS2386i.",False,good,False,True,11.0,False,False,False,False,[],False,False,False,750.0,€/mes,flat,,El Astillero,Piso en calle Navarra,ARS2386i,1,True,,,,,,
110667048,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c5/bf/87/1411783715.webp,8,780.0,flat,rent,55.0,1,1,calle San Fernando,Cantabria,Santander,Numancia - San Fernando,es,43.4608903,-3.8171437,False,https://www.idealista.com/inmueble/110667048/,7241,"Apartamento en primera línea de Santander, Plaza de las Cervezas, de 64 metros, distribuido en un dormitorio con vestidor, hall de entrada, salón-comedor, cocina con vitrocerámica de inducción, horno, lavadora, frigorífico, tostadora, microondas y baño. 2 ascensores, videoportero y portero físico. No mascotas. Se solicita seguro de impago.  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,14.0,False,False,False,False,[],False,False,False,780.0,€/mes,flat,,"Numancia - San Fernando, Santander",Piso en calle San Fernando,1702-7801-SAN_FERNANDO ,3,True,,,,,,
110670081,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/86/43/ff/1411861361.webp,37,1100.0,flat,rent,80.0,3,1,calle Juan de la Cosa,Cantabria,Santander,Puerto Chico,es,43.4650075,-3.7944959,False,https://www.idealista.com/inmueble/110670081/,9125,"¿Te imaginas viviendo en una de las mejores zonas, con todos los servicios a un paso y la tranquilidad que siempre has buscado? Desde RK Idepisos te presentamos esta estupenda vivienda situada en la calle Juan de la Cosa, alquiler para fijo, perfecta para quienes desean estabilidad y calidad de vida en un entorno privilegiado. Una oportunidad única de crear tu hogar en una zona muy demandada, cómoda y bien comunicada. La vivienda se alquila completamente vacía, ofreciéndote la libertad de adaptarla a tu estilo y convertirla en el espacio que siempre has soñado. Al acceder, un agradable recibidor da paso a una distribución cómoda y funcional. Dispone de un salón, ideal para disfrutar en familia o con amigos; cocina independiente reformada, moderna y práctica, que además cuenta con cuarto despensa, aportando un extra de almacenamiento muy valorado en el día a día. La zona de descanso se compone de dos dormitorios dobles, espaciosos y luminosos, y un tercer dormitorio más pequeño, perfecto como despacho, habitación infantil o espacio polivalente según tus necesidades. Completa la vivienda un baño completo y armarios empotrados que facilita la organización. Una vivienda pensada para quienes buscan algo más que un alquiler: buscan un hogar en una ubicación excepcional. Si deseas más información o concertar una visita, en RK Idepisos estaremos encantados de acompañarte.",False,good,False,True,14.0,False,False,False,False,[],False,False,False,1100.0,€/mes,flat,,"Puerto Chico, Santander",Piso en calle Juan de la Cosa,A3831,5,True,,,,,,
110667026,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/07/ec/1411782036.webp,12,975.0,flat,rent,91.0,2,1,calle Gravina,Cantabria,Santander,Centro - Ayuntamiento,es,43.4630126,-3.8145281,False,https://www.idealista.com/inmueble/110667026/,7509,"////// PISO VACIO ////// Junto a la Biblioteca Municipal. Amplio piso con mucha luz. Acogedor e ideal para y hacer de él un hogar muy acogedor.  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,False,11.0,False,False,False,False,[],False,False,False,975.0,€/mes,flat,,"Centro - Ayuntamiento, Santander",Piso en calle Gravina,,2,True,,,,,,
110664046,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bb/c3/5b/1411699448.webp,20,2300.0,flat,rent,180.0,4,2,calle Castelar,Cantabria,Santander,Puerto Chico,es,43.4629715,-3.7890283,False,https://www.idealista.com/inmueble/110664046/,9497,"Distrito Inmobiliario alquila este espectacular piso sito en la calle Castelar con vistas de toda la bahía de Santander. En sus 166 m² útiles encontramos 4 habitaciones, un gran salón orientado al sur, cocina equipada con zona de office y 2 baños completos. Se alquila vacío, sin muebles, Dispone de suelos de tarima, ventanas de PVC con doble acristalamiento, calefacción individual de gas.. . Todo ello reformado y rehabilitado hace menos de 10 años. El edificio cuenta con ascensor a cota cero y portero físico. Se solicita un mes de fianza y 2 meses de depósito.",False,good,False,True,13.0,False,False,False,False,[],False,False,False,2300.0,€/mes,flat,,"Puerto Chico, Santander",Piso en calle Castelar,6239,7,True,,,,,,
110620157,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d0/88/3d/1410391738.webp,14,1200.0,chalet,rent,130.0,4,3,calle Marqués de Villapuente,Cantabria,Camargo,Muriedas,es,43.4183926,-3.8469974,False,https://www.idealista.com/inmueble/110620157/,5355,"Se alquila chalet pareado en la Calle Marques de Villapuente de Muriedas. Chalet de 4 habitaciones, salón, cocina equipada, 2 baños y aseo. Garaje con cuarto de lavado y trastero. La vivienda se alquila semi amueblada. Tiene una parcela de unos 80 m2. Consultar condiciones.",False,good,False,,9.0,False,False,False,False,[],False,False,False,1200.0,€/mes,chalet,semidetachedHouse,"Muriedas, Camargo",Chalet pareado en calle Marqués de Villapuente,009481,,,True,True,,,,
85092716,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/f7/66/1411579290.webp,20,1525.0,flat,rent,115.0,5,2,"calle Atilano Rodríguez, Santander",Cantabria,Santander,Castilla - Hermida,es,43.4590308,-3.8100554,False,https://www.idealista.com/inmueble/85092716/,7745,"A PARTIR DE DE JULIO DEL 2026. **Piso en Alquiler en el Corazón de Santander**.  Descubre este espectacular piso completamente reformado en pleno centro de Santander, ideal para quienes buscan comodidad y estilo. Con 115 m² construidos, este hogar cuenta con 5 amplias habitaciones y 2 baños completos, perfectos para acomodar a 4 adultos. El amplio salón ofrece unas vistas maravillosas, creando un ambiente acogedor y luminoso. La cocina está lista para que la personalices a tu gusto, y el sistema de calefacción por caldera de gas ciudad garantiza un confort óptimo durante todo el año. Las ventanas de PVC con cristal doble aseguran un excelente aislamiento térmico y acústico. Además, el edificio cuenta con ascensor y está situado en una cuarta planta, lo que permite disfrutar de la tranquilidad y las vistas. Mes de fianza y mes de garantía extraordinaria del alquiler. MES DE FIANZA Y MES DE GARANTIA EXTRAORDINARIA. SUMINISTROS NO INCLUIDOS. Ubicado a solo 3 minutos del Paseo Pereda y a 15 minutos caminando de las playas, este piso es una oportunidad única para vivir en una de las zonas más vibrantes de la ciudad. No dejes pasar la ocasión de alquilar este espacio que combina modernidad, confort y una ubicación inmejorable. ¡Solicita más información y ven a verlo!",False,good,False,True,13.0,False,False,True,False,[],False,False,False,1525.0,€/mes,flat,,"Castilla - Hermida, Santander","Piso en calle Atilano Rodríguez, Santander",18-0035,4,True,,,,,,
110658974,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/35/7d/2c/1411556525.webp,17,975.0,flat,rent,83.0,3,1,calle Floranes,Cantabria,Santander,Cuatro Caminos,es,43.4594894,-3.8223717,False,https://www.idealista.com/inmueble/110658974/,6793,"Se alquila piso de 3 habitaciones, salón, cocina equipada y 1 baño. Amueblado. Terraza. Armarios.",False,good,False,True,12.0,False,False,False,False,[],False,False,False,975.0,€/mes,flat,,"Cuatro Caminos, Santander",Piso en calle Floranes,35060,6,True,,,,,,
