dataset,model_num,model_name,case_name,target,features,n_features,AIC,BIC,residual_skewness,residual_kurtosis,MAE,MAPE,MSE,RMSE,R2,NMAE,NRMSE,CV_MAE,CV_MAPE,CV_MSE,CV_RMSE,CV_R2,MAPE_pct,NMAE_pct,NRMSE_pct,CV_MAPE_pct
sale,11,M11,Caso 3b: Caso 3 + precio_m2_municipio,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, tiene_garaje_bin, obra_nueva_bin, precio_m2_municipio",7,11379.59932848212,11412.275323786722,2.0588756686793706,5.804066157987808,87974.1463711336,0.2850481001012161,17314878042.990814,131586.0100580256,0.5709971799856859,0.2813478458302839,0.42082182093641984,72718.43769482424,0.330059891341144,11104178616.11173,102904.35768414417,0.5393299106581709,28.504810010121613,28.134784583028388,42.08218209364198,33.0059891341144
sale,12,M12,Caso 3b: Caso 3 + precio_m2_municipio,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, tiene_garaje_bin, obra_nueva_bin, precio_m2_municipio",7,369.4089878879025,402.0849831925039,2.0489085822375266,6.730390663149247,86837.61010008703,0.255487111005885,18491579820.753933,135983.7483699943,0.541842577815064,0.2777131185296294,0.43488611427298685,71652.48443391886,0.30116627192031614,12428088995.841518,107143.05383664535,0.498312949451919,25.548711100588502,27.77131185296294,43.488611427298686,30.116627192031615
sale,13,M13,Caso 4: Caso 2 + latitud + longitud,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, latitud, longitud",6,11467.319269894786,11495.910765786311,1.8990626381107913,4.747925165574885,87601.44928891814,0.2646457737743498,18880275018.364372,137405.5130566615,0.532212054545603,0.2801559329154806,0.4394330232044344,81039.62089685604,0.39292237753921533,13506787449.091934,114138.29685636316,0.4309863982400356,26.464577377434978,28.015593291548058,43.943302320443436,39.29223775392153
sale,14,M14,Caso 4: Caso 2 + latitud + longitud,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, latitud, longitud",6,480.86922415765855,509.4607200491848,1.7368781917846061,4.541443118162638,88804.66126075666,0.2468480762170244,20761476644.487457,144088.43341673008,0.48560238160314706,0.2840038940531297,0.46080549824077743,80770.67203646884,0.3618530554514926,14479763099.507126,117642.50589584283,0.3977181397477647,24.68480762170244,28.40038940531297,46.08054982407774,36.18530554514926
sale,15,M15,Caso 4b: Caso 4 + precio_m2_municipio,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, latitud, longitud, precio_m2_municipio",7,11398.459251276989,11431.13524658159,2.0302662714176565,5.075992263492367,85541.15671878881,0.2689713272593355,17022926193.111805,130471.93641972133,0.578230737542113,0.2735669644480784,0.4172589308015056,76414.89326423958,0.35286397426248284,11709015933.914806,105841.97493593232,0.5131989220796885,26.89713272593355,27.356696444807838,41.72589308015056,35.286397426248286
sale,16,M16,Caso 4b: Caso 4 + precio_m2_municipio,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, latitud, longitud, precio_m2_municipio",7,407.21162134184044,439.8876166464418,1.9342718996269512,5.316402238795273,82717.06621952637,0.2387556528933314,17453740025.56338,132112.60358331972,0.5675566601062794,0.2645353135463997,0.42250590609190014,76848.38297872341,0.33108409162889546,13357182218.52058,111472.0716779978,0.45722416099848606,23.87556528933314,26.45353135463997,42.25059060919001,33.108409162889544
sale,17,M17,Caso 5: Caso 2 + distancias minimas,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, distancia_min_playa_km, distancia_min_supermercado_km, distancia_min_colegio_km",7,11443.816372929487,11476.492368234089,1.9776914839739532,5.322708362740329,83526.90902120178,0.2510715086837325,17572900876.658306,132562.81860558904,0.5646042661576703,0.2671252508985773,0.4239457271291119,76632.09742474198,0.36275126766358107,12852614597.661694,111288.29806531877,0.4578850287019877,25.107150868373253,26.71252508985773,42.39457271291119,36.275126766358106
sale,18,M18,Caso 5: Caso 2 + distancias minimas,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, distancia_min_playa_km, distancia_min_supermercado_km, distancia_min_colegio_km",7,448.1699147166644,480.84591002126575,1.5810956697756149,4.740498177937324,85910.63790129159,0.24025843377066633,19040585147.58887,137987.6267916398,0.5282401237388477,0.27474859267705193,0.441294666108856,76546.55896126115,0.33889383390570227,13859063592.385891,114900.92264859418,0.42504503953423506,24.025843377066632,27.47485926770519,44.1294666108856,33.889383390570224
sale,19,M19,Caso 5b: Caso 5 + precio_m2_municipio,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, distancia_min_playa_km, distancia_min_supermercado_km, distancia_min_colegio_km, precio_m2_municipio",8,11397.419246549909,11434.179741267586,2.0773688837073605,5.507833873732357,84719.86440881611,0.26484524511059254,16597667446.574667,128831.93488640411,0.5887671791530337,0.2709404107190658,0.4120140842461253,75211.15606038924,0.3450643753312164,11769809761.043934,106266.90192313939,0.5076064791063921,26.484524511059256,27.09404107190658,41.20140842461253,34.50643753312164
sale,20,M20,Caso 5b: Caso 5 + precio_m2_municipio,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, distancia_min_playa_km, distancia_min_supermercado_km, distancia_min_colegio_km, precio_m2_municipio",8,396.9330324940463,433.6935272117228,1.8562028136865276,5.405174557752211,81477.99758582782,0.2332499004740628,16940711602.725868,130156.4888998081,0.5802677308743396,0.2605726801443512,0.4162501062335958,75487.71108385827,0.3230889894895733,13372819867.792696,111642.07039885076,0.45455223042950416,23.32499004740628,26.05726801443512,41.62501062335958,32.308898948957335
sale,21,M21,Caso 6: Todas las variables,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, tiene_garaje_bin, obra_nueva_bin, latitud, longitud, distancia_min_playa_km, distancia_min_supermercado_km, distancia_min_colegio_km",11,11424.826186771874,11473.840179728775,1.9832399895351058,5.740052678527242,87768.21719714825,0.2695501326273924,18017790026.42434,134230.3617905589,0.553581451017447,0.28068926905648983,0.42927865392945863,76082.97210974258,0.3567058482725819,12361201718.72852,109023.38729014054,0.47838946482862427,26.955013262739243,28.068926905648983,42.92786539294586,35.67058482725819
sale,22,M22,Caso 6: Todas las variables,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, tiene_garaje_bin, obra_nueva_bin, latitud, longitud, distancia_min_playa_km, distancia_min_supermercado_km, distancia_min_colegio_km",11,406.50757879072285,455.5215717476249,1.8773052122867004,6.925345053754601,86229.99087992715,0.24369710126668587,19881604783.148563,141002.14460478452,0.5074025645919282,0.2757699071916544,0.450935317685824,73460.17952474991,0.31558932228518816,13349176417.390072,112314.95394550213,0.4509325298800876,24.369710126668586,27.57699071916544,45.0935317685824,31.558932228518817
sale,23,M23,Caso 6b: Todas las variables + precio_m2_municipio,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, tiene_garaje_bin, obra_nueva_bin, latitud, longitud, distancia_min_playa_km, distancia_min_supermercado_km, distancia_min_colegio_km, precio_m2_municipio",12,11376.680575672393,11429.779068042371,2.000682822411844,5.541795803601509,85959.17637644643,0.2730759343791332,16679321208.554308,129148.4464039514,0.5867440812099197,0.27490382232107813,0.4130263115573939,73585.14679464494,0.3390695632826112,11288565193.186783,104032.11226852158,0.5264373477326775,27.30759343791332,27.490382232107812,41.30263115573939,33.90695632826112
sale,24,M24,Caso 6b: Todas las variables + precio_m2_municipio,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, tiene_garaje_bin, obra_nueva_bin, latitud, longitud, distancia_min_playa_km, distancia_min_supermercado_km, distancia_min_colegio_km, precio_m2_municipio",12,362.6323487268429,415.73084109682014,2.0870642829060264,7.150907800936162,82948.76081306463,0.24224749345106533,17469544694.577892,132172.40519328494,0.5671650750451669,0.26527629004314807,0.42269715607652536,71978.60386706924,0.30156259148732956,12873470866.446617,108890.59658206957,0.480648919103853,24.224749345106535,26.527629004314807,42.269715607652536,30.156259148732957
