id,tipo_inmueble,titulo,municipio,zona,precio_mensual_eur,habitaciones,superficie_m2,planta,exterior,ascensor,garaje_incluido,garaje_opcional,temporada,lujo,vistas_mar,amueblado,observaciones
508,Piso,Piso en Villapresente,Villapresente,Villapresente,690,3,97,Bajo,si,no,no,no,no,no,no,si,
509,Casa de pueblo,Casa en Barrio Valles,Reocin,Reocin,850,4,144,,si,,no,no,si,no,no,no,Temporal
510,Piso,Piso en Barrio Cobreces 6,Alfoz de Lloredo,Cobreces,700,3,70,2ª,si,no,no,no,si,no,no,si,Temporal
511,Piso,Piso en Julian Ceballos 1,Torrelavega,Centro,750,3,90,3ª,si,si,no,no,no,no,no,si,
512,Casa rural,Casa rural en Quijas,Reocin,Quijas,750,1,45,,si,,no,no,si,no,no,no,Duplex
513,Chalet adosado,Chalet en Urb Pico Torre,Cabezon de la Sal,Cabezon,1300,4,244,,si,,si,no,no,no,no,no,
514,Casa o chalet independiente,Casa en Udias,Udias,Udias,800,2,85,,si,,no,no,si,no,no,no,Temporal
515,Chalet adosado,Chalet en Barrio Sierrapando,Torrelavega,Tanos,850,2,60,,si,,no,no,si,no,no,no,Temporal



